country,years,fertility,female_percentage,0-4_female,10-14_female,25-29_female,35-39_female,50-54_female,0-4_male,10-14_male,25-29_male,35-39_male,50-54_male
Australia,20,0.9792146450288604,2.6884382303086924e-08,0.0009764305116944327,0.0012649683312714586,0.008466412249576383,0.001720757812435818,0.00031238891351998343,0.001225456894998198,0.001229663240186503,0.002649082333605052,0.0020325302112652495,0.0007883311964835142
Australia,50,0.9797698191687195,8.863232893576694e-06,0.0024629453502535456,0.004236895659610214,0.00802487185045833,0.0005531455957759651,7.201919587707358e-05,0.0006376894202232309,0.0008537242906537984,0.0012691006813808823,0.0007369998280870367,0.0006259293166198624
Australia,100,0.9798886688086621,4.016335434762092e-05,0.0037758265967243877,0.005492288311273166,0.006146715816662096,7.622328118432262e-05,7.012959330907535e-06,0.00015924196756354362,0.0003983418568847841,0.00047860082898137934,0.00020121465614998058,6.641893170278358e-05
Australia/New Zealand,10,0.9878318226689297,0.0,0.00043399773052665505,0.0007169341658311394,0.002968547548924823,0.001181361213651764,0.00032350539569923003,0.0004927683521801986,0.001088637731621494,0.0026026889877891852,0.0015298828943001092,0.0008075407873042506
Australia/New Zealand,20,0.9825626572206781,2.1425943973316697e-08,0.0007225934409159237,0.001177365751826115,0.0072596534477423185,0.001211210768662631,0.00027508324330800435,0.0009005224196719832,0.001085651753282327,0.002085771894080289,0.001790145004199882,0.000823092100550216
Australia/New Zealand,50,0.9823733071250871,6.892142823786091e-06,0.0018397256937897478,0.004044326102568686,0.006926540103704593,0.0003951797263643598,6.373285766040245e-05,0.0004725115558856548,0.0007855009430578726,0.0010221875462407255,0.0006790415835273763,0.0006968110489222332
Australia/New Zealand,100,0.9822235645947411,3.110832743467324e-05,0.0028403327323385423,0.005299992197704743,0.005360872364152508,5.419975580339342e-05,6.154650184644057e-06,0.00010220298337279496,0.0003773665411353448,0.0003959004888432214,0.00018921086746981501,7.598700542028078e-05
Austria,10,0.9673804723682233,0.0,0.0015085452339205694,0.0021504714977073113,0.005020479164180721,0.0020539064325138527,0.0010731108601210679,0.001747366818070731,0.003115614638758527,0.0097576058789733,0.0035755151064942045,0.002579613027778611
Austria,20,0.9617515910724085,2.6124920563031848e-08,0.0024244439427658143,0.003833755359868245,0.010858608137021603,0.002227980151541107,0.0008801418344237405,0.0027560837313215574,0.0028909003955486096,0.006689929077399694,0.00354568570375868,0.0019361210521315604
Austria,50,0.9593679606000194,3.039444934116356e-05,0.005786575120961853,0.012673461190132709,0.010741569472090987,0.0008361100796760634,0.0001837364456016145,0.00130115515984014,0.0018066726794674164,0.002793823737752163,0.0012926387726918903,0.0016360894888285597
Austria,100,0.9591016428875956,0.00011718236815821772,0.008385624330633917,0.015524516550600678,0.007325156750221702,0.00010158582206070191,1.658950171113177e-05,0.00040971060428975943,0.0009213029051540987,0.0009932011949637064,0.0002507011344400879,8.975702908120296e-05
Azerbaijan,10,0.9936555006915625,0.0,0.00014818028114312002,0.00019507630098556384,0.0009365356717719604,0.0003124141508408186,0.0004017970987779643,0.0003950026043664513,0.0006466144646542335,0.0015819014801928355,0.001096580490275638,0.000612658205153986
