country,fertility,female_percentage,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,70-74_female,75-79_female,80-84_female,85-89_female,90-94_female,95-99_female,0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,70-74_male,75-79_male,80-84_male,85-89_male,90-94_male,95-99_male
South America,"[1.8433993785868334, 4.776835259939985]","[0.4892604893678367, 0.49444797371332017]","[0.9459725416331773, 0.9976113113560142]","[0.9882482804136306, 0.9987132685593381]","[0.9885446781188522, 0.9986284721518178]","[0.982703738545971, 0.9967797279542931]","[0.9726353179238442, 0.9961544454672588]","[0.9694964738842733, 0.9955366751003283]","[0.9719543352196227, 0.9944149110689752]","[0.9677493251768216, 0.9924011145240494]","[0.9592019050121624, 0.9895212402602921]","[0.9472423083075073, 0.9847805514258222]","[0.9329770131260383, 0.9775000630858803]","[0.9045068651889122, 0.9655369255802363]","[0.859466435499111, 0.9456359332854636]","[0.7959820439277958, 0.9101784993044373]","[0.6951442929895625, 0.8570834759036745]","[0.5653932625400767, 0.7621853259128357]","[0.40120886047453963, 0.5945735127381423]","[0.2569187100843649, 0.4398241924116384]","[0.15268969633664106, 0.29675284779062294]","[0.07611403265983947, 0.19868095630667765]","[0.938377786741342, 0.9971410481144996]","[0.9864391618628655, 0.9984327530458731]","[0.9847101284736594, 0.9966246503567942]","[0.9734926469960508, 0.9920239858916757]","[0.9686992513274382, 0.9899273222060876]","[0.9693863190405287, 0.989094625494903]","[0.9698682247364108, 0.9874361804383225]","[0.9631794197145737, 0.9841670657878758]","[0.9500606226259058, 0.9790187326165924]","[0.9319351398649203, 0.9702303518302626]","[0.9097837147259252, 0.9567425776735135]","[0.8734142441126467, 0.9356801288369962]","[0.8174936176509943, 0.9038159374476581]","[0.7408533932374884, 0.855405513362762]","[0.6310343281957367, 0.7842315141195618]","[0.49742074234494377, 0.6685811082256891]","[0.33374358974358975, 0.4894316602076004]","[0.19715060509167442, 0.34095387768373553]","[0.11120876149269876, 0.22853963433658506]","[0.05363873586546825, 0.1515537251965556]"
South Sudan,"[4.216890549616877, 6.077183350267542]","[0.4930652210787537, 0.49827652414570356]","[0.7348579345678599, 0.9746185602601657]","[0.8591273060165013, 0.9919381475265078]","[0.8545579718198545, 1.0553711498878113]","[0.6334537569557704, 1.1892471449449682]","[0.5767364547595292, 1.2322606198633528]","[0.6116163732250043, 1.188444680487388]","[0.7081086013707248, 1.1349023152332616]","[0.7702303944507143, 1.0980449911415722]","[0.8045150925847637, 1.0680120895260021]","[0.817501626545218, 1.0365869396885485]","[0.7922645040548971, 1.0031906334100935]","[0.7522875607883286, 0.9603876616196945]","[0.6897322387931405, 0.8991597766562869]","[0.5992892592365664, 0.8224931991553637]","[0.4826550387596899, 0.7207098897953342]","[0.36066848037310534, 0.5967806841046278]","[0.2483998780859494, 0.48151343357160464]","[0.06637474072366904, 0.42987111448066717]","[0.008496176720475786, 0.614950634696756]","[0.0, 0.782608695652174]","[0.7289281009584612, 0.9746966937201923]","[0.8432538308871043, 0.9928395134955235]","[0.8593608500533296, 1.0473542991620726]","[0.6548153363795719, 1.172137748093411]","[0.5776131302413965, 1.2255324314641607]","[0.5895318317622642, 1.198924907082657]","[0.6767044294754031, 1.1520378178101445]","[0.7358101680583448, 1.1178806807591393]","[0.7646787632544594, 1.0852069905800694]","[0.7722679403517845, 1.0496246473597808]","[0.7564516129032258, 1.0157546846923933]","[0.7155429828697155, 0.9725008919015341]","[0.6527752359538811, 0.9094522806374794]","[0.5552152184426891, 0.8315048262039137]","[0.42608980662078005, 0.7278252299605782]","[0.30444043912829755, 0.6107856391768064]","[0.15654126895002807, 0.5160262086063396]","[0.014172139647424819, 0.5356550580431177]","[0.0, 1.0661764705882353]","[0.0, 2.0]"
South-Eastern Asia,"[2.1239295357349803, 4.975045777912806]","[0.4836514828659475, 0.49651365866305924]","[0.9251369993361694, 0.9956009411391148]","[0.9801327987058416, 1.0002708717213027]","[0.9827760079116384, 0.9982759569696498]","[0.9775076209482819, 0.9977867951165966]","[0.9696288614883812, 0.9971298033017418]","[0.9671524814657877, 1.00119716901816]","[0.9649004354510555, 1.0059658908234448]","[0.953011458407763, 1.0009196663471405]","[0.9427287033888808, 0.992600232899953]","[0.9308718372544548, 0.982324276556047]","[0.9070620947974726, 0.9679651667668265]","[0.8669984016571209, 0.9528930937278414]","[0.8137472217753228, 0.9260534497496546]","[0.7424316566360788, 0.878792144675442]","[0.6467222664540426, 0.8018036546331186]","[0.5423635356778712, 0.6976509656212908]","[0.43432240809426487, 0.5742996270684909]","[0.31056582743246786, 0.44629184246644976]","[0.20678223634228884, 0.3498607742746789]","[0.15714285714285714, 0.3348793085274586]","[0.9169897076430554, 0.9945572124217611]","[0.9729036386861126, 0.9968271699148665]","[0.9681204923400318, 0.9955105216215719]","[0.9630665117464525, 0.9898176672246117]","[0.9569652077747456, 0.9907621749291321]","[0.9572527778333046, 0.9976232269106013]","[0.9574714583483257, 1.0066572626266717]","[0.9443812826232362, 0.9996813722301244]","[0.9269406957479992, 0.9901985081861973]","[0.9096203005384159, 0.9722643378537956]","[0.8852578807298869, 0.9485769141770742]","[0.849234264608506, 0.9192917314473121]","[0.7943754191882612, 0.8773644063634589]","[0.717526486811064, 0.8169504219433141]","[0.6190965355193309, 0.7288403744427451]","[0.5046888708367181, 0.6165249874609223]","[0.3900158903770353, 0.48299567329426063]","[0.25451225442967124, 0.4483040666615546]","[0.13951685828704302, 0.3663282571912014]","[0.08990134131471011, 0.3866732722318553]"
Southern Africa,"[2.3415608859186983, 5.226038456144192]","[0.49175392126148937, 0.4947824811888109]","[0.9269624029648633, 1.017171956787868]","[0.857210683367486, 1.0053149175302876]","[0.9634093068534311, 1.2430166796453457]","[0.9474459697947649, 1.1929106132860152]","[0.9377780506900416, 1.0564237894022648]","[0.9135038705266508, 1.0777944855078092]","[0.9132743244864497, 1.127910595633761]","[0.9202539492389847, 1.0690916677379043]","[0.9241985144251916, 1.031421496902149]","[0.9156346038001695, 1.01015678785103]","[0.8930437698717595, 1.0600048642520623]","[0.8718112110551706, 1.062561234975028]","[0.8145673554948987, 0.9710429470773944]","[0.7403249912551276, 0.859524490239356]","[0.6424333792475135, 0.7932245758364347]","[0.5190862830799662, 0.7178735003538902]","[0.3711872914636667, 0.6122313278053979]","[0.22833013435700575, 0.4964385443576687]","[0.10692669804976462, 0.3628506377240876]","[0.047021943573667714, 0.25977624961510826]","[0.9254759687931422, 1.0175602616818007]","[0.8662377438437763, 1.0002439644952263]","[0.9711745903208772, 1.1626748756425869]","[0.9417939211957599, 1.1172315066107776]","[0.787469530153774, 1.0699678339766363]","[0.8133617405267326, 1.0550662082250388]","[0.8602479048228429, 1.0401394898209717]","[0.8498281333396419, 1.0167023395805683]","[0.8335459199138661, 0.9748734462825901]","[0.7710152222721839, 0.9530098730606488]","[0.7680656576717808, 0.9302426469516019]","[0.7421357981581128, 0.8994602193140433]","[0.7713410532923795, 0.8344513621477669]","[0.7208686974116699, 0.7732233237127202]","[0.6348448687350835, 0.7131949036397823]","[0.5367199313416977, 0.6403144074628585]","[0.4194804275500814, 0.5441124664230041]","[0.3020946470131885, 0.4473781768752317]","[0.17797419971333014, 0.34434434434434436]","[0.1022167487684729, 0.2745143926983384]"
Southern Asia,"[2.245854097443918, 4.9991060454210645]","[0.47931601029659643, 0.4903361628261307]","[0.8979434266527293, 0.9912633054969123]","[0.9766087647155004, 0.9976711169822496]","[0.9724208642715094, 0.9942224812598327]","[0.9631337513214131, 0.9910431458349616]","[0.9564311312185906, 0.9904250680113919]","[0.9527378261618993, 0.9883368020982963]","[0.948430450884154, 0.9868166881128851]","[0.9439297175818879, 0.9847308030395104]","[0.9389008549056834, 0.9828849033757787]","[0.9248519748981743, 0.9728466680554713]","[0.9023668470241143, 0.9619250484930816]","[0.8637922254114506, 0.940222780620701]","[0.8059892173794285, 0.9075148851490453]","[0.7265754179824516, 0.8581461612704706]","[0.6086328677456563, 0.7840670973541162]","[0.47108697869209015, 0.6863642633110478]","[0.3340133877195252, 0.562076656662305]","[0.2078497166039991, 0.4240122691061055]","[0.11077224239673172, 0.28962872893557023]","[0.0560914376321353, 0.1961317069545038]","[0.9066409613410449, 0.9913567578043575]","[0.9819521573724055, 0.9970878485382818]","[0.9760795072849936, 0.992803374936617]","[0.970606496187893, 0.9885857372624066]","[0.9636482493429666, 0.9903947758535712]","[0.9611360762340738, 0.9896842152677376]","[0.9558364938666707, 0.9838553361289417]","[0.9479659328144545, 0.9777381526304575]","[0.9361544592637476, 0.9695421295833393]","[0.9176615615109991, 0.9595632396318637]","[0.8913967212838942, 0.939670409084222]","[0.8515429900327388, 0.9130383569657556]","[0.7925916000855904, 0.8793410509843391]","[0.7134424988224038, 0.8189921745791736]","[0.5986715707219905, 0.7347330787988303]","[0.4633879845775275, 0.6331508893100544]","[0.32449404801013876, 0.5156655866186526]","[0.19287901771659177, 0.3859879694067641]","[0.09540805327328909, 0.2731194397908389]","[0.04204131227217497, 0.20033068020148423]"
Southern Europe,"[1.3060646532280202, 2.6350114757716403]","[0.48515963048589766, 0.4902160415989636]","[0.9726881566742474, 1.0325006712727616]","[0.9837518943973157, 1.0365151530414092]","[0.9688644826086011, 1.0320550224151968]","[0.9561383392953782, 1.0562983000701842]","[0.9572828569172439, 1.0669001404572969]","[0.9626280583094236, 1.0542780450710905]","[0.9631359184436314, 1.0413949692946016]","[0.9706014511547114, 1.0295514964234147]","[0.9725641023662334, 1.0193105079684062]","[0.9692315991470698, 1.0115824614055222]","[0.9639172804697526, 0.9995027109190894]","[0.9364990541443918, 0.9947660342724193]","[0.8892485919826144, 0.9761114483270503]","[0.8262545362876754, 0.9491102897696965]","[0.7347724695496249, 0.9097082564516826]","[0.6116787202085076, 0.8342083971500889]","[0.44847242037846224, 0.7004269463007327]","[0.3073169418037864, 0.512715734025094]","[0.20156982865894515, 0.3230279099674509]","[0.10049641478212906, 0.16958091332162722]","[0.9665740923536916, 1.0322324514668422]","[0.9760945954147765, 1.0366585734298939]","[0.9517506441194279, 1.0361234402053188]","[0.937936192037881, 1.0506921571126335]","[0.9399240123987348, 1.062187300257874]","[0.946489681148204, 1.0573099091110618]","[0.9594970957941106, 1.040972465914937]","[0.9694792061536651, 1.0254310777518283]","[0.9657275739383717, 1.0100089287421874]","[0.9548999898613907, 0.9981610663498925]","[0.9377481304558792, 0.9807545414828699]","[0.9062472822647377, 0.9690942645622095]","[0.8523124789587156, 0.9428433887718021]","[0.7848552893871616, 0.9051903679890054]","[0.6831709474798785, 0.8502910520759256]","[0.5453339833288967, 0.7565025352722907]","[0.38611630675055264, 0.6145265885727242]","[0.24891688570651682, 0.4356442693838772]","[0.1531608703100908, 0.25263804016780245]","[0.07431731766332526, 0.1249343059555593]"
Spain,"[1.1221349490706736, 2.8302665378295]","[0.48305915529717697, 0.49002411228676784]","[0.9875808825255336, 1.086814976167235]","[0.998566123563196, 1.0904985489009118]","[0.9761315068826694, 1.0936295449981381]","[0.9541824375473127, 1.172808125573916]","[0.9490880501257345, 1.161916946081431]","[0.9437627262264604, 1.1117616343543377]","[0.953501143540319, 1.0895229068564471]","[0.9579445031429392, 1.0650739620984258]","[0.956757932659563, 1.0498112642262092]","[0.9527443385824546, 1.0385468842450198]","[0.9430475219073258, 1.0278863791583563]","[0.9389355326386264, 1.0186639636848325]","[0.8866447269743517, 1.0017454121564666]","[0.8084250268562072, 0.967061763742463]","[0.7173334842397148, 0.9342016959079316]","[0.6380996527967134, 0.8682769083359949]","[0.4599496374964815, 0.7422748698357928]","[0.33349876877851375, 0.5449351296034914]","[0.2040418432004799, 0.3352139628493187]","[0.09389671361502347, 0.1764322807954982]","[0.9832796966280619, 1.0860374875077297]","[0.9900761056863872, 1.0921709742764947]","[0.9724563552097591, 1.097219839631673]","[0.9433568609914249, 1.1627607840058745]","[0.9216478590895781, 1.177653134001922]","[0.9314271793912096, 1.1404479619965107]","[0.9461362134243974, 1.1122338921166717]","[0.9559086102794613, 1.078707817362933]","[0.9482003328007154, 1.055749313314471]","[0.9427405950764592, 1.033481175400577]","[0.9208713338096872, 1.012831979228152]","[0.8980608276808615, 0.995399745338235]","[0.8451221138271805, 0.9701839889195424]","[0.7679012081054795, 0.9178262487955959]","[0.6649833094008168, 0.8655757401052492]","[0.5448626868836814, 0.7747862070582443]","[0.3816665985532715, 0.6401343867941166]","[0.2626440068633058, 0.4527296722064446]","[0.16884151807949, 0.26448212199320376]","[0.07537688442211055, 0.134542034589059]"
Sri Lanka,"[2.038130698225686, 4.94844230816073]","[0.48956743100268774, 0.4941952888705907]","[0.9644966058996123, 1.0204287151134603]","[0.9886398308255888, 1.0250526970524205]","[0.977695513849291, 1.0150439486139284]","[0.9466370273044947, 0.9918363836354562]","[0.9383901837751799, 0.9867997206766833]","[0.9441253716336278, 0.9799616381937581]","[0.953376404920869, 0.9784360160269093]","[0.9588444342542704, 0.9929092034991729]","[0.962489070241912, 1.0082528851743493]","[0.9531770852496413, 1.0266743929214461]","[0.9392895976803189, 1.0347377911586777]","[0.9103311482547592, 1.0144942432138848]","[0.8571142685611367, 0.9527705380866747]","[0.7755992908329733, 0.9089948133303372]","[0.6684380198136399, 0.8503045712887173]","[0.5371770429294589, 0.7584412745258785]","[0.3905486554026332, 0.6494156928213689]","[0.2543468225880905, 0.5031275906247645]","[0.1358313817330211, 0.33994932432432434]","[0.058823529411764705, 0.20187793427230047]","[0.961738965237439, 1.0105784522671275]","[0.9799125393894293, 1.0147460201652931]","[0.9508048119478002, 0.9948371292028793]","[0.9369957937077665, 0.976896408118941]","[0.9312780074769131, 0.9700600486272746]","[0.938006777405028, 0.9722363697726506]","[0.9432199159239862, 0.9714768562991426]","[0.9402927477814349, 0.9693191716747308]","[0.9450174487391999, 0.9792328448401222]","[0.9383549841301605, 0.995988983856392]","[0.9144176911326107, 0.9985431474050352]","[0.8780798992560189, 0.968406532084535]","[0.8167424813254077, 0.8829187599558878]","[0.7277950815861652, 0.8223852136123714]","[0.6245350189543586, 0.7521895580148007]","[0.49005211300293267, 0.646806845345123]","[0.34329247306134336, 0.5071028588269968]","[0.21133360032038445, 0.4233588427136814]","[0.10452644973641156, 0.2686583990980834]","[0.016913319238900635, 0.12111292962356793]"
State of Palestine,"[3.574165123795776, 6.452343334868398]","[0.47970126498117144, 0.4967018363617852]","[0.7806488332384747, 1.0087039782198663]","[0.8048274477435474, 1.0150349403543446]","[0.8024445512600425, 1.0142731458150043]","[0.8001623432696625, 1.0119321553887322]","[0.7938420909224287, 1.010216753940108]","[0.7923823749066468, 1.0086482870657938]","[0.7906250985089682, 1.0064887243486396]","[0.7845891362139428, 1.00286626605989]","[0.7805536171202605, 0.9973809598939762]","[0.7730617208878079, 0.9888292027835429]","[0.7552556046854395, 0.9759904853935925]","[0.7305081636396992, 0.9553009138690279]","[0.6925663922068885, 0.9338962049390542]","[0.6305991041433371, 0.8864957140781636]","[0.5467514609831557, 0.8110724692170317]","[0.440415964024733, 0.6943915055812687]","[0.3153715258082813, 0.5395948434622467]","[0.20694864048338368, 0.37148803329864727]","[0.12949640287769784, 0.2193211488250653]","[0.0, 0.11702127659574468]","[0.7775254516162204, 1.0081028050297085]","[0.8046555693873729, 1.0143752328692883]","[0.801826695342063, 1.0128460211183303]","[0.788647187540224, 1.007631024693996]","[0.7835858783097711, 1.0057197054012987]","[0.7824447395882743, 1.0054524445728317]","[0.7817197103389522, 1.0038218878912886]","[0.7768062397372743, 1.0001389412675414]","[0.7657546715211222, 0.9930845139734259]","[0.7509863229879011, 0.9804281535876532]","[0.728339985912186, 0.9602740265364779]","[0.6981985979235069, 0.9297650762896585]","[0.653357925572312, 0.8912106780704312]","[0.5901768172888016, 0.8280041797283176]","[0.5046397840391429, 0.7342266890005583]","[0.39959549263218724, 0.6071801690568905]","[0.28025078369905954, 0.4443283893879256]","[0.17235188509874327, 0.27728813559322035]","[0.10975609756097561, 0.15172413793103448]","[0.0, 0.07692307692307693]"
Sub-Saharan Africa,"[4.306581990463079, 5.518642570729832]","[0.4940029247141817, 0.49838296015461475]","[0.8715392168510046, 0.9730545115824031]","[0.9587537362413256, 0.9872534923838687]","[0.9662347540838342, 0.9997604817668962]","[0.9638259571636285, 0.9925804855432245]","[0.9584668359897436, 0.9799785939323433]","[0.9499103684037097, 0.9733494038601427]","[0.9413343346356915, 0.9730454060569087]","[0.9328206343765134, 0.9653783210493874]","[0.9264036625940845, 0.9605845554910568]","[0.9165939584007029, 0.9526048630650067]","[0.8981785585681237, 0.9393464499153837]","[0.8645718425796276, 0.9163062281243101]","[0.8053419561547808, 0.8753888727627297]","[0.7197727806607299, 0.8128700726761515]","[0.6080080569379422, 0.7241400308014668]","[0.47870446254378773, 0.6103951489940308]","[0.34248841557596943, 0.4821802847276423]","[0.2255523896564701, 0.36653430997215086]","[0.12855740922473013, 0.2681270686184188]","[0.07023749368367863, 0.23071206014349827]","[0.8643941977496228, 0.971011671500702]","[0.9598281036191235, 0.9873552387715386]","[0.9632329583880899, 0.9897666140701835]","[0.9540599907248363, 0.9795073014193186]","[0.9385389369622291, 0.9708395392866805]","[0.9404703644886523, 0.9684534676888796]","[0.9338119957305772, 0.9648218713349384]","[0.9255165959708417, 0.9590464320234237]","[0.9161416664620907, 0.9501260008443153]","[0.9002962650081616, 0.9362780539513232]","[0.8782899153338839, 0.9175201504194886]","[0.8426337364965707, 0.8890796056502295]","[0.7860681552671254, 0.8423900710600445]","[0.6997362502708478, 0.7758615623354094]","[0.5829628662728964, 0.6791268261010409]","[0.45368305230915634, 0.5552351996121985]","[0.3168407512220221, 0.4159397742044443]","[0.21447226149879398, 0.30702642682656006]","[0.1396616235562063, 0.24010002459621219]","[0.09255079006772009, 0.20116995073891625]"
Sudan,"[4.142926320037195, 6.071392369879109]","[0.4894749116445081, 0.4959530990604167]","[0.8879261197886279, 0.9862557027605228]","[0.8949795143077071, 0.9950021751186221]","[0.8868796653268805, 1.015646827760923]","[0.914143558499697, 1.1002650462214751]","[0.9194009071437571, 1.1272703172734952]","[0.9195798870044141, 1.072819514095136]","[0.8878526811874276, 1.0049520790123778]","[0.8269508276492747, 0.9985308152631851]","[0.7650850162666503, 0.9903921771112187]","[0.7442098344333513, 0.9797135426868406]","[0.8080916248521193, 0.965401527806205]","[0.8860531901610688, 0.9460474263710478]","[0.8342563155915632, 0.9289689620632698]","[0.7438922848845474, 0.8561146450370383]","[0.6333597324885604, 0.7707840997416954]","[0.5115308102266867, 0.6455650643845477]","[0.37497821920195157, 0.48953375638991714]","[0.23384943940202882, 0.3420706501315295]","[0.07589711019371229, 0.22420879572544183]","[0.00821917808219178, 0.27450980392156865]","[0.9192117411119982, 0.9935181843104038]","[0.9321528123393527, 1.0216046324588113]","[0.8682495693206501, 1.0145659422229794]","[0.8237387962677523, 1.0354285510992403]","[0.8378078998264554, 1.075988000777304]","[0.8969929902876117, 1.0983509298961667]","[0.9150318039423488, 1.0794058784764693]","[0.8807901435995673, 1.0206979852127351]","[0.807834312579494, 0.9835243170931066]","[0.7503682077935679, 0.9699914031546685]","[0.7715733751769788, 0.9505981234079599]","[0.8481842587014627, 0.9879577091072376]","[0.8051871135698015, 0.9304083121056136]","[0.6950691359627565, 0.8192294972852819]","[0.58562377364708, 0.7275809148590145]","[0.4611714815796448, 0.5992995529061103]","[0.3282911685051853, 0.44329449856899195]","[0.17075053058074474, 0.28256513026052105]","[0.016181229773462782, 0.22519083969465647]","[0.0, 1.7941176470588236]"
Suriname,"[2.358242665103047, 6.260377453828857]","[0.4876989002427257, 0.4951048951048951]","[0.867487622986777, 1.0402326176804066]","[0.8625809405454902, 1.0504995836802664]","[0.8228547596705245, 1.0500668548506908]","[0.7506624386429781, 1.0113080835514296]","[0.7624162693862773, 1.0170567611105847]","[0.842224349490906, 0.9957766790276061]","[0.8737568500101481, 0.9961594490795921]","[0.8931015143017387, 1.01418705900015]","[0.8833254605573926, 1.0820027597082593]","[0.8779532874308087, 1.0749019607843138]","[0.8556075576356388, 1.0872944693572497]","[0.8211872586872587, 1.0546318289786223]","[0.7728070175438596, 1.182688896771905]","[0.7118457300275483, 1.1367328519855595]","[0.5865970409051349, 0.9479025710419485]","[0.4375, 0.838452787258248]","[0.2985507246376812, 0.757396449704142]","[0.16352201257861634, 0.6296296296296297]","[0.06451612903225806, 0.41379310344827586]","[0.0, 0.5]","[0.858967440187084, 1.0513318638622184]","[0.8494774606145687, 1.0474684795067388]","[0.8124436127911251, 1.0517080455478813]","[0.7232187761944677, 1.032538532472665]","[0.7192553810354857, 1.012898330804249]","[0.8081062315570213, 1.0015500234852044]","[0.8530290102389079, 1.0612048854123781]","[0.8689790274256741, 1.0309846566363772]","[0.8679245283018868, 1.0752931495577043]","[0.8572014211533205, 1.0793612388095815]","[0.8272259990051402, 1.0945043656908064]","[0.7927887825506343, 1.0708129119486227]","[0.7073256221521206, 1.0809523809523809]","[0.6149068322981367, 1.0715261958997722]","[0.5188042430086789, 1.0157932519741566]","[0.3764705882352941, 0.958273381294964]","[0.23236514522821577, 0.8849206349206349]","[0.11827956989247312, 0.6956521739130435]","[0.0, 0.42857142857142855]","[0.0, 0.22580645161290322]"
Sweden,"[1.5727253455951165, 2.3988869783437123]","[0.48512117495692475, 0.48815642374267515]","[1.0009405774296778, 1.0598651222723325]","[0.9972673382368236, 1.0528633754937446]","[1.0098868620313315, 1.0625435689214475]","[1.02328488656499, 1.081244859974895]","[1.0132651883912451, 1.0887219599600289]","[0.9971502694318696, 1.082160760189455]","[0.9955903751588863, 1.0551306007770176]","[0.9945870637675863, 1.0365637012676354]","[0.9894134917127899, 1.0230943857504584]","[0.981009611461954, 1.008008008008008]","[0.9686028471726184, 0.9998418952726686]","[0.9490848500384517, 0.9851055328758794]","[0.9144299204540168, 0.9712665001783803]","[0.8529378298035758, 0.9483666552212979]","[0.7557668812341581, 0.9131750640748855]","[0.6085764253235397, 0.843724692013537]","[0.4383246073298429, 0.7141813284428907]","[0.2800207039337474, 0.5136820091936789]","[0.14852872489490893, 0.2965737727018855]","[0.07513416815742398, 0.14504929870851271]","[0.9991219780293433, 1.0624034098994304]","[0.999442298889111, 1.0539488157933163]","[1.0026717186437384, 1.1049607167092252]","[1.0157788808945638, 1.1131332810916124]","[1.0191188587908127, 1.0884755259471652]","[0.9925418932510527, 1.0884011781587493]","[0.9843419088289415, 1.054573638555726]","[0.9851766480868362, 1.0369175558821846]","[0.9813688044057559, 1.0215487178558165]","[0.971582371422717, 1.004119782375761]","[0.9563767088298757, 0.9933163828076801]","[0.9292917053022001, 0.9753343595005985]","[0.8897000349906161, 0.9531436007249926]","[0.8235898745879405, 0.9233551690699929]","[0.7257266705119466, 0.8758182597655284]","[0.5866872060969678, 0.7825685229199973]","[0.4122634069400631, 0.6241444920909891]","[0.24933165592074225, 0.4119161637365521]","[0.12612301313061505, 0.21904178062812413]","[0.06, 0.09824928142147897]"
Switzerland,"[1.4187439953791632, 2.4671257876875496]","[0.48548161813150614, 0.4902632957196591]","[0.9500538461197555, 1.0639960186438773]","[0.9799838122217726, 1.1012089604722919]","[0.9931783251555424, 1.1658886567106954]","[0.9982946454464003, 1.2165850804916143]","[0.9832510342986788, 1.180137310073157]","[0.9583870905624772, 1.1430505960441502]","[0.9562356354484361, 1.0773946588199408]","[0.964468488844591, 1.0500771193403773]","[0.9694387013927107, 1.0282200322747426]","[0.9700834197452525, 1.010630276710795]","[0.9601930646483249, 0.991781362398588]","[0.9471736866255399, 0.9737507997770943]","[0.9069038208168643, 0.9605928993711538]","[0.8434108527131783, 0.9532317041027091]","[0.7354345006485085, 0.9253932287127582]","[0.6038105263157895, 0.8635218165049426]","[0.4244989633724948, 0.7351396341069235]","[0.2721354166666667, 0.5310110549478771]","[0.1484375, 0.30281350686252123]","[0.056074766355140186, 0.14555879690172016]","[0.9480238906845665, 1.0711248352166933]","[0.9780007019411372, 1.0829873147689613]","[0.9879541937480656, 1.141422018348624]","[0.9764000017365709, 1.2449309189057642]","[0.9958800611863734, 1.1825704484522976]","[0.9715723509304975, 1.1709758342052516]","[0.943739221871714, 1.0901639344262295]","[0.9437775759148715, 1.0605731413062573]","[0.9523622164891975, 1.0359555189456342]","[0.9502846796535852, 1.0131566454623138]","[0.9362443459692789, 0.986525753966709]","[0.9065044334677724, 0.9516703957403594]","[0.8596703880914407, 0.9237122306041754]","[0.7884017687934302, 0.9149578421741977]","[0.6764291845493562, 0.8758831812894141]","[0.5400884955752212, 0.7952659755131087]","[0.3697875688434304, 0.648899891991602]","[0.21735339001526052, 0.4391712134193083]","[0.125, 0.2423765120967742]","[0.045871559633027525, 0.11624441132637854]"
Syrian Arab Republic,"[2.5099365767352535, 6.661158763667478]","[0.4765110434464181, 0.4884744460478946]","[0.9134838873449486, 1.0162798896215217]","[0.9502920890824923, 1.0111854534845246]","[0.8081607281530829, 1.0549203488811882]","[0.5549590840106758, 1.1190632362323616]","[0.48184972034700285, 1.1624355345782207]","[0.5674015630071658, 1.1391354903363258]","[0.6573126783260393, 1.1000480806464104]","[0.726230688521782, 1.078136685851787]","[0.7775151684436871, 1.0579432526811439]","[0.8061656617083931, 1.0374291934769035]","[0.8276158064845559, 1.0165530711814887]","[0.833611745304692, 0.9950183982743688]","[0.817994463674303, 0.9616184000891681]","[0.7685352383714034, 0.90725546456896]","[0.661649162720563, 0.8253882902818853]","[0.5255461209086291, 0.7018816990869393]","[0.3798850574712644, 0.529735908784477]","[0.23822843822843823, 0.3638599105812221]","[0.12962962962962962, 0.2013888888888889]","[0.0625, 0.09375]","[0.9165640516260206, 1.0144432114450133]","[0.9521330404859168, 1.0092225885825934]","[0.8274802357053782, 1.045144993024863]","[0.58653683319221, 1.1025803248076596]","[0.4985780669394086, 1.1284765129307717]","[0.5595010511086862, 1.1208660798179457]","[0.6333315203202506, 1.1012136109752644]","[0.6908306407648225, 1.0831757878135018]","[0.7336349263289357, 1.0628427417748614]","[0.7512128368684751, 1.037523991371365]","[0.7614924124031802, 1.0070744349989633]","[0.7536582281306027, 0.9700647249190939]","[0.7296060627725746, 0.9211532599961207]","[0.6638148764918124, 0.8478451386740901]","[0.5712132703265076, 0.748780122045473]","[0.47178225890092307, 0.6089045314562253]","[0.3408460718094561, 0.42504243562425514]","[0.20062390329498928, 0.2511568718186025]","[0.10187667560321716, 0.12096300645918967]","[0.04504504504504504, 0.056818181818181816]"
