country,years,fertility,female_percentage,0-4_female,10-14_female,25-29_female,35-39_female,50-54_female,0-4_male,10-14_male,25-29_male,35-39_male,50-54_male
Sierra Leone,20,0.6471812723916514,1.4466686842785927e-05,0.05508145521265655,0.05607007615945255,0.0636828105493214,0.007658469544831521,0.002169927797218351,0.0688511340796274,0.04991513813512842,0.029979833293013392,0.015127125526721272,0.005345637761216193
Sierra Leone,50,0.5455169275056234,7.639825615821978e-05,0.11265521692036491,0.14138027793409294,0.055947903200870085,0.002026741083620807,0.00047425206318616055,0.044299693479731346,0.03192529200276368,0.026501880039375286,0.021728485249508208,0.013775298419436149
Sierra Leone,100,0.5279792899385344,0.0002704161216511215,0.1553855052921976,0.1727597478084223,0.04773613569725857,0.0001606139902698658,-2.411752284981099e-05,0.025368309150176252,0.017194302416290393,0.01250278878292388,0.010740452456684169,0.0052315093683341475
Singapore,10,0.9654280491356526,0.0,0.00039921741789866294,0.0014701410539384118,0.005421429781872677,0.0023317175938830756,0.0021816972890002506,0.0003630168542016324,0.0034250488783464485,0.011204057305915838,0.003444410966001216,0.005047907549637509
Singapore,20,0.9531987400392968,8.870444435646253e-07,0.0020737348521801453,0.0028622762719969423,0.017113828242933282,0.0024723937272276004,0.002398269507919994,0.0017764387483616036,0.0021288549486182845,0.006688673629846256,0.004170211174017038,0.005269187056357279
Singapore,50,0.9235196611381673,2.0278371275715617e-05,0.006229148782344419,0.021488098603512654,0.016411923498295563,0.0005765164811342699,0.0002534177954529823,0.0007573918788868399,0.0022110157395287228,0.001928322042355364,0.0016291529713667598,0.013859880383373423
Singapore,100,0.8811457145044918,7.428341393780167e-05,0.009710560527970442,0.03763335297917311,0.016063622247373732,6.204535866305912e-05,-4.8564281679744137e-05,0.000760001015145475,0.0015134586752762347,0.0015198898954328548,0.0006412451346524565,6.802746724669562e-05
Sint Maarten (Dutch part),10,0.2771235558418608,0.0,0.005187947365143422,0.021526685119389804,0.09859516843403318,-3.183021613479622e-06,0.08921742513987771,0.0050184070807889215,0.14796160495127453,0.14577605851894307,0.00019796676495712943,0.20912255853120798
Sint Maarten (Dutch part),20,0.17855638570926785,0.0003368795967696119,0.013974516425068986,0.005395897731596151,0.40698204471004973,0.00159867493714102,0.012980560937826322,0.008885369093825084,0.023379555732530467,0.28442028443992107,0.002247796651538707,0.054569516762896425
Sint Maarten (Dutch part),50,0.15236719249089478,0.004265374431813715,0.04399579866426538,0.02805891687934772,0.21955260453563052,0.0012372554933682374,0.00044990443807499684,0.007708459444085395,0.013664709017048058,0.07818062767241002,0.004767276930147579,0.3682557620751891
